Tid;2011;2012;2013;2014;2015
01.01.2014 00:00;0;0.01;0.0105;0.01;0.008585
01.01.2014 01:00;0;0.01;0.0112;0.01;0.010195
01.01.2014 02:00;0;0.01;0.0109;0.01;0.008962
01.01.2014 03:00;0;0.01;0.0109;0.01;0.007145
01.01.2014 04:00;0;0.01;0.011;0.01;0.012395
01.01.2014 05:00;0;0.01;0.0108;0.01;0.013385
01.01.2014 06:00;0;0.01;0.0135;0.01;0.008965
01.01.2014 07:00;0;0.01;0.0109;0.01;0.017845
01.01.2014 08:00;0;0.01;0.0112;0.01;0.023938
01.01.2014 09:00;0;0.01;0.01108;0.03;0.042909
01.01.2014 10:00;0;0.01;0.018891;0.08;0.071649
01.01.2014 11:00;0.01;0.01;0.05492;0.11;0.074913
01.01.2014 12:00;0.01;0.01;0.056397;0.08;0.072557
01.01.2014 13:00;0.01;0.01;0.035106;0.05;0.039138
01.01.2014 14:00;0.01;0.01;0.014381;0.02;0.021053
01.01.2014 15:00;0;0.01;0.0111;0.01;0.023568
01.01.2014 16:00;0;0.01;0.0071;0.01;0.021475
01.01.2014 17:00;0;0.01;0.006;0.01;0.018895
01.01.2014 18:00;0;0.01;0.004;0.01;0.015345
01.01.2014 19:00;0;0.01;0.005;0.01;0.015095
01.01.2014 20:00;0;0.01;0.004;0.01;0.016425
01.01.2014 21:00;0;0.01;0.0041;0.01;0.008875
01.01.2014 22:00;0;0.01;0.0093;0.01;0.010642
01.01.2014 23:00;0;0.01;0.0075;0;0.009445
02.01.2014 00:00;0;0.01;0.0063;0.01;0.021195
02.01.2014 01:00;0;0.01;0.0065;0.01;0.020535
02.01.2014 02:00;0;0.01;0.0091;0.01;0.019485
02.01.2014 03:00;0;0.01;0.006;0.01;0.025588
02.01.2014 04:00;0;0.01;0.007;0;0.031415
02.01.2014 05:00;0;0.01;0.0071;0.01;0.039155
02.01.2014 06:00;0;0.01;0.007;0.01;0.038659
02.01.2014 07:00;0;0.01;0.0089;0.01;0.045645
02.01.2014 08:00;0;0.01;0.0081;0.01;0.045486
02.01.2014 09:00;0;0.01;0.018143;0.01;0.053333
02.01.2014 10:00;0.01;0.02;0.040643;0.03;0.1368
02.01.2014 11:00;0.01;0.02;0.073147;0.04;0.376033
02.01.2014 12:00;0.01;0.02;0.105947;0.03;0.564777
02.01.2014 13:00;0.01;0.02;0.111323;0.02;0.601855
02.01.2014 14:00;0.01;0.02;0.029956;0.01;0.21197
02.01.2014 15:00;0;0.01;0.0072;0.01;0.0428
02.01.2014 16:00;0;0.01;0.0037;0.01;0.041461
02.01.2014 17:00;0;0.01;0.0011;0.01;0.051557
02.01.2014 18:00;0;0.01;0.002;0.01;0.050917
02.01.2014 19:00;0;0.01;0.0021;0.01;0.038687
02.01.2014 20:00;0;0.01;0.0022;0.01;0.042757
02.01.2014 21:00;0;0.01;0.0038;0.01;0.04354
02.01.2014 22:00;0;0.01;0.0029;0.01;0.055847
02.01.2014 23:00;0;0.01;0.0052;0.01;0.045301
03.01.2014 00:00;0;0.01;0.0017;0.01;0.048315
03.01.2014 01:00;0;0.01;0.0027;0.01;0.054225
03.01.2014 02:00;0;0.01;0.0052;0.01;0.056535
03.01.2014 03:00;0;0.01;0.0036;0.01;0.053678
03.01.2014 04:00;0;0.01;0.0039;0.01;0.050635
03.01.2014 05:00;0;0.01;0.0046;0.01;0.048615
03.01.2014 06:00;0;0.01;0.0034;0.01;0.047715
03.01.2014 07:00;0;0.01;0.0036;0.01;0.040729
03.01.2014 08:00;0;0.01;0.0033;0.01;0.044912
03.01.2014 09:00;0;0.01;0.00901;0.03;0.173467
03.01.2014 10:00;0.01;0.02;0.01504;0.06;0.912412
03.01.2014 11:00;0.01;0.03;0.033245;0.13;1.637276
03.01.2014 12:00;0.01;0.02;0.055133;0.15;1.651526
03.01.2014 13:00;0;0.02;0.044843;0.12;1.010036
03.01.2014 14:00;0;0.01;0.02623;0.03;0.226717
03.01.2014 15:00;0;0.01;0.00441;0.01;0.037932
03.01.2014 16:00;0;0.01;0.0043;0.01;0.032215
03.01.2014 17:00;0;0.01;0.0033;0.01;0.03252
03.01.2014 18:00;0;0.01;0.0004;0.01;0.03667
03.01.2014 19:00;0;0.01;0.0037;0.01;0.029403
03.01.2014 20:00;0;0.01;0.0055;0.01;0.030033
03.01.2014 21:00;0;0.01;0.0048;0.01;0.025355
03.01.2014 22:00;0;0.01;0.01;0.01;0.027605
03.01.2014 23:00;0;0.01;0.0065;0.01;0.031885
04.01.2014 00:00;0;0.01;0.0058;0;0.039475
04.01.2014 01:00;0;0.01;0.0085;0.01;0.036025
04.01.2014 02:00;0;0.01;0.0069;0;0.032305
04.01.2014 03:00;0;0.01;0.005;0.01;0.030805
04.01.2014 04:00;0;0.01;0.0085;0.01;0.026428
04.01.2014 05:00;0;0.01;0.0042;0.01;0.031719
04.01.2014 06:00;0;0.01;0.0082;0.01;0.031195
04.01.2014 07:00;0;0.01;0.007;0.01;0.030645
04.01.2014 08:00;0;0.01;0.008253;0.01;0.033771
04.01.2014 09:00;0;0.02;0.023909;0.04;0.287505
04.01.2014 10:00;0;0.02;0.093581;0.16;1.412224
04.01.2014 11:00;0;0.03;0.194644;0.25;2.741972
04.01.2014 12:00;0;0.04;0.106615;0.22;2.922111
04.01.2014 13:00;0;0.04;0.049853;0.12;1.947597
04.01.2014 14:00;0;0.02;0.015703;0.08;0.59533
04.01.2014 15:00;0;0.01;0.0045;0.01;0.047583
04.01.2014 16:00;0;0.01;0.0011;0.01;0.015837
04.01.2014 17:00;0;0.01;0.002;0.01;0.011752
04.01.2014 18:00;0;0.01;0.002;0.01;0.022869
04.01.2014 19:00;0;0.01;0.0032;0.01;0.018575
04.01.2014 20:00;0;0.01;0.0055;0.01;0.015229
04.01.2014 21:00;0;0.01;0.0051;0.01;0.023495
04.01.2014 22:00;0;0.01;0.0044;0;0.019505
04.01.2014 23:00;0;0.01;0.0036;0.01;0.013525
05.01.2014 00:00;0;0.02;0.0047;0.01;0.012535
05.01.2014 01:00;0;0.01;0.0035;0.01;0.012782
05.01.2014 02:00;0;0.01;0.0071;0;0.009265
05.01.2014 03:00;0;0.01;0.007;0.01;0.008975
05.01.2014 04:00;0;0.01;0.0051;0.01;0.009675
05.01.2014 05:00;0;0.01;0.006;0.01;0.009865
05.01.2014 06:00;0;0.01;0.0037;0.01;0.009335
05.01.2014 07:00;0;0.01;0.003301;0.01;0.011295
05.01.2014 08:00;0;0.01;0.0063;0.01;0.015944
05.01.2014 09:00;0;0.01;0.028518;0.01;0.205476
05.01.2014 10:00;0;0.02;0.154023;0.03;0.948598
05.01.2014 11:00;0;0.02;0.271924;0.06;1.438561
05.01.2014 12:00;0;0.03;0.230309;0.06;1.388483
05.01.2014 13:00;0;0.03;0.105892;0.03;0.74275
05.01.2014 14:00;0;0.02;0.027698;0.01;0.149007
05.01.2014 15:00;0;0.01;0.012401;0.01;0.013515
05.01.2014 16:00;0;0.01;0.0071;0.01;0.006736
05.01.2014 17:00;0;0.01;0.007;0.01;0.006658
05.01.2014 18:00;0;0.01;0.008;0.01;0.008445
05.01.2014 19:00;0;0.01;0.008;0.01;0.007502
05.01.2014 20:00;0;0.01;0.0072;0.01;0.007475
05.01.2014 21:00;0;0.01;0.0102;0.01;0.007715
05.01.2014 22:00;0;0.01;0.0094;0.01;0.007505
05.01.2014 23:00;0;0.01;0.0104;0.01;0.008455
06.01.2014 00:00;0;0.01;0.0105;0.01;0.008479
06.01.2014 01:00;0;0.01;0.0106;0.01;0.009475
06.01.2014 02:00;0;0.01;0.011;0.01;0.010035
06.01.2014 03:00;0;0.01;0.0071;0;0.009455
06.01.2014 04:00;0;0.01;0.007;0.01;0.008605
06.01.2014 05:00;0;0.01;0.0061;0.01;0.009138
06.01.2014 06:00;0;0.01;0.0045;0.01;0.009365
06.01.2014 07:00;0;0.01;0.0034;0.01;0.012025
06.01.2014 08:00;0;0.01;0.0017;0.01;0.0118
06.01.2014 09:00;0;0.01;0.0085;0.03;0.07207
06.01.2014 10:00;0;0.05;0.017404;0.13;0.246745
06.01.2014 11:00;0;0.1;0.012263;0.18;0.416743
06.01.2014 12:00;0;0.11;0.01501;0.18;0.315974
06.01.2014 13:00;0;0.08;0.022094;0.07;0.177518
06.01.2014 14:00;0;0.03;0.009765;0.02;0.061139
06.01.2014 15:00;0;0.01;0.0015;0.02;0.021003
06.01.2014 16:00;0;0.01;0.004;0.01;0.019235
06.01.2014 17:00;0;0.01;0.004;0.01;0.016755
06.01.2014 18:00;0;0.01;0.007;0.01;0.026335
06.01.2014 19:00;0;0;0.008;0.01;0.026115
06.01.2014 20:00;0;0.01;0.0053;0.01;0.026295
06.01.2014 21:00;0;0.01;0.0073;0.01;0.03192
06.01.2014 22:00;0;0.01;0.0095;0.01;0.030738
06.01.2014 23:00;0;0.01;0.0094;0.01;0.035855
