Tid;2011;2012;2013;2014;2015
01.01.2014 00:00;599;536.580664;2177.8;1196;3421.482879
01.01.2014 01:00;565;568.57628;2171.88;1221.65;3414.526476
01.01.2014 02:00;491;655.805804;2164.49;1316.43;3443.319358
01.01.2014 03:00;451;797.23549;2164.4;1298.22;3333.452665
01.01.2014 04:00;449;873.47361;2139.71;1250.22;3298.684482
01.01.2014 05:00;455;933.532621;2066.03;1266.06;3357.875875
01.01.2014 06:00;462;1023.269947;1915.4;1292.19;3409.331014
01.01.2014 07:00;525;1079.517788;1758.38;1251.78;3360.445926
01.01.2014 08:00;562;1152.916682;1634;1251.25;3344.624719
01.01.2014 09:00;543;1238.313264;1438.9;1231.99;3531.644171
01.01.2014 10:00;550;1280.128718;1351.35;1187.52;3531.253127
01.01.2014 11:00;560;1295.338876;1242.82;1109.92;3503.583079
01.01.2014 12:00;577;1262.196337;1084.28;1058.14;3569.253904
01.01.2014 13:00;572;1247.202036;925.87;989.76;3630.598567
01.01.2014 14:00;564;1251.952081;785.07;920.4;3684.678538
01.01.2014 15:00;533;1223.827602;735.3;897.51;3626.19631
01.01.2014 16:00;505;1146.530519;746.99;871.94;3550.653272
01.01.2014 17:00;481;1132.960493;783.95;831.52;3509.289273
01.01.2014 18:00;445;1150.647163;791.56;852.82;3458.929706
01.01.2014 19:00;440;1207.749631;803.06;844.05;3697.162929
01.01.2014 20:00;412;1165.832048;827.81;786.63;3704.959646
01.01.2014 21:00;419;1090.182537;843.27;699.5;3817.047337
01.01.2014 22:00;371;1045.583644;812.63;658.11;3949.534976
01.01.2014 23:00;324;1007.119143;860.35;628.98;3924.335675
02.01.2014 00:00;305;1009.491072;851.25;689.81;3994.327591
02.01.2014 01:00;266;945.001941;859.1;793.26;4007.698471
02.01.2014 02:00;220;984.551049;861.87;917.78;4112.853226
02.01.2014 03:00;177;1038.829603;861.16;1064.97;4071.900604
02.01.2014 04:00;170;1031.186295;833.65;1210.25;3909.6368
02.01.2014 05:00;166;1005.916273;800;1318.23;3761.048949
02.01.2014 06:00;183;1070.878306;758.64;1490.97;3602.537178
02.01.2014 07:00;222;1218.062766;735.18;1655.67;3595.99187
02.01.2014 08:00;265;1217.123607;743.24;1756.09;3646.199801
02.01.2014 09:00;273;1247.250438;767.73;1860.92;3811.438671
02.01.2014 10:00;266;1249.083613;756.73;1993.79;3889.960057
02.01.2014 11:00;231;1251.223245;741.06;1982.82;3955.58461
02.01.2014 12:00;188;1255.948561;770.88;2028.9;4064.817989
02.01.2014 13:00;177;1229.047976;833.74;1983.79;4224.162272
02.01.2014 14:00;182;1226.322307;858.75;1986.25;4372.317298
