Tid;2011;2012;2013;2014;2015
1.1.2014 0:00;-801;1066.59;2843.34;1947.16;2397.99
1.1.2014 1:00;-896;210.45;2444.02;1777.75;2208.26
1.1.2014 2:00;-646;166.81;2375.16;1713.65;2232.16
1.1.2014 3:00;-491;272.16;2484.2;1614.63;2355.58
1.1.2014 4:00;-447;253.86;2592.55;1614.48;2444.53
1.1.2014 5:00;-261;356.94;2591.07;1532.49;2391.31
1.1.2014 6:00;-158;638.89;2517.4;1482.08;2028.14
1.1.2014 7:00;-161;1090;2668.13;1463.35;2231.65
1.1.2014 8:00;47;1767.01;2610.86;1442.74;2167.1
1.1.2014 9:00;-154;1857.69;2695.11;1660.83;2356.9
1.1.2014 10:00;-97;1897.81;2777.57;1857.29;2624.71
1.1.2014 11:00;-280;1929.38;2749.81;1840.05;2942.59
1.1.2014 12:00;-557;1944.16;2686.16;2056.88;3013.27
1.1.2014 13:00;-481;2096.33;2789.83;2172.66;3122.92
1.1.2014 14:00;-134;2355.71;2706.05;2169.02;3447.63
1.1.2014 15:00;-55;2165.89;2500;2061.97;3127.58
1.1.2014 16:00;-812;2285.26;2566.25;1343.22;2774.96
1.1.2014 17:00;-742;2623.98;3209.46;1861.61;2690.14
1.1.2014 18:00;-765;3055.82;3370.67;1625.51;2844.31
1.1.2014 19:00;-836;3359.42;3567.94;1501.44;3027.52
1.1.2014 20:00;-752;3264.92;3693.34;1877.72;2897.72
1.1.2014 21:00;-509;3517.6;3183.34;2105.49;3228.13
1.1.2014 22:00;-692;3675.92;3046.68;2017.52;3033.21
1.1.2014 23:00;-997;3476.26;2682.09;1659.57;2984.01
2.1.2014 0:00;-989;2220.07;2154.86;1485.84;2825.67
2.1.2014 1:00;-1039;1747.69;2039.22;1530.67;2905.1
2.1.2014 2:00;-1013;1878.43;1972.53;1698.83;2975.19
2.1.2014 3:00;-879;2016.61;1938.1;1745.54;2909.84
2.1.2014 4:00;-995;2193.41;2000.34;1865.05;2965.76
2.1.2014 5:00;-1232;2447.79;2022.46;1827.33;2743.53
2.1.2014 6:00;-1381;2570.37;2265.74;1684.84;2207.3
2.1.2014 7:00;-1454;2512.68;2545.8;1940.1;1747.08
2.1.2014 8:00;-1594;2634.38;2494.65;2330.41;2185.12
2.1.2014 9:00;-1315;2848.47;2715.9;2464.71;2503.09
2.1.2014 10:00;-1047;2611.21;2469.11;3011.82;2838.5
2.1.2014 11:00;-751;2470.17;2287.07;3197.56;2870.25
2.1.2014 12:00;-673;2439.62;2408.72;3673.51;3045.75
2.1.2014 13:00;-630;2596.42;2366.46;3646.92;3304.82
2.1.2014 14:00;-485;2837.39;2257.39;3700.94;3442.01
2.1.2014 15:00;-426;2445.44;1864.39;3355.16;3126.7
2.1.2014 16:00;-711;2230.69;1924.44;3366.51;3012.23
2.1.2014 17:00;-784;2172.32;2098.58;3571.35;3089.96
2.1.2014 18:00;-588;2509.49;2216.87;3701.16;3320.3
2.1.2014 19:00;-471;2892.41;2612.17;3767.97;3126.91
2.1.2014 20:00;-483;3307.79;2861.44;3989.5;2962.28
2.1.2014 21:00;-180;3707.99;3248.12;3932.15;3138.78
2.1.2014 22:00;-504;3887.69;3362.75;3694.86;3117.14
2.1.2014 23:00;-1019;3606.16;2603.94;3242.66;2897.89
3.1.2014 0:00;-1483;2607.3;2395.85;2554.81;2641.42
3.1.2014 1:00;-1503;2119.74;2207.53;2393.65;2735.07
3.1.2014 2:00;-1589;1745.9;2187.81;2230.82;2503.29
3.1.2014 3:00;-1685;1667.14;2092.64;2209.4;2464.44
3.1.2014 4:00;-1808;1655.69;2059.1;2111.25;2614.75
3.1.2014 5:00;-1828;2248.24;2050.18;2123.14;2895.68
3.1.2014 6:00;-1842;2510.02;2017.8;2179.21;2474.12
3.1.2014 7:00;-1495;2345.71;2731.13;2283.2;2486
3.1.2014 8:00;-1401;2245.84;2776.01;2281.25;2569.69
3.1.2014 9:00;-1502;2250.02;2676.09;2504.4;2678.67
3.1.2014 10:00;-1615;1883.08;2444.01;2186.93;2537.44
3.1.2014 11:00;-1527;1571.83;2699.74;1824.8;2564.13
3.1.2014 12:00;-1426;1681.11;2996.4;2338.27;2622.51
3.1.2014 13:00;-1403;1616.88;3165.25;2767.84;2490.61
3.1.2014 14:00;-1403;1657.04;3308.73;3073.8;2322.84
3.1.2014 15:00;-1592;1606.19;3048.42;2587.92;1965.33
3.1.2014 16:00;-1804;1661.49;2946.54;2519.14;1891.59
3.1.2014 17:00;-1722;1748.9;2991.66;2950.48;2372.8
3.1.2014 18:00;-1504;2133.56;3309.88;3446.47;2484.22
3.1.2014 19:00;-1244;2315.59;3540.59;3766.11;2216.45
3.1.2014 20:00;-1082;2754.01;3860.65;3768;1424.09
3.1.2014 21:00;-1232;3431.89;3947.92;3610.09;1341.72
3.1.2014 22:00;-1251;3532.59;3757.25;3769.64;1654.82
3.1.2014 23:00;-1312;2942.07;2601.67;3404.92;1903.06
4.1.2014 0:00;-1740;2077.49;2297.31;2638.59;1353.82
4.1.2014 1:00;-1866;1740.78;2330.12;2518.59;1436.34
4.1.2014 2:00;-1857;1615.3;2362.62;2346.68;1506.95
4.1.2014 3:00;-1733;1526.23;2445.9;2392.09;1450.88
4.1.2014 4:00;-1719;1552.54;2653.76;2563.24;1396.78
4.1.2014 5:00;-1505;2229.27;2625.81;2476.87;1362.77
4.1.2014 6:00;-1540;2310.54;3609.84;2273.65;1109.5
4.1.2014 7:00;-1007;2994.72;4251.55;2367.35;625.12
4.1.2014 8:00;-1190;2980.57;4102.79;3041.08;649.29
4.1.2014 9:00;-1211;2913.31;3740.19;3316.38;477.86
4.1.2014 10:00;-1295;2135.65;3151.2;3104.02;39.98
4.1.2014 11:00;-1079;1748.6;3043.35;3240.5;-1.04
4.1.2014 12:00;-918;1929.81;3012.86;3331.32;264.43
4.1.2014 13:00;-818;1886.35;2870.14;3398.17;297.29
4.1.2014 14:00;-747;1935.58;2800.11;3699.21;222.36
4.1.2014 15:00;-954;1679.85;2372.31;3346.27;305
4.1.2014 16:00;-1142;1417.2;1985.29;2919.4;456.89
4.1.2014 17:00;-1040;1774.39;1912.48;2884.29;646.25
4.1.2014 18:00;-725;1912.16;2237.92;2978.48;872.35
4.1.2014 19:00;-235;2269.25;2573.5;3060.85;1038.03
4.1.2014 20:00;-341;2564.26;3016.6;3143.39;945.38
4.1.2014 21:00;-293;2723.47;2985.87;3248.7;762.83
4.1.2014 22:00;-568;2662.52;2579.24;3374.37;707.36
4.1.2014 23:00;-763;2220.38;2045.76;2893.35;243.34
5.1.2014 0:00;-804;1558.32;1635.59;2300.6;-719.03
5.1.2014 1:00;-1090;1364.17;1599.36;1806.38;-922.15
5.1.2014 2:00;-985;1373.96;1534.67;1672.46;-872.41
5.1.2014 3:00;-1010;1395.98;1337.55;1592.03;-885.61
5.1.2014 4:00;-921;1411.07;1250.44;1497.55;-808.81
5.1.2014 5:00;-320;1399.78;1176.93;1673.74;-806.38
5.1.2014 6:00;-138;2028.19;1539.62;1715.32;-982.72
5.1.2014 7:00;-60;1785.48;1958.5;1783.17;179.41
5.1.2014 8:00;-396;1247.94;2395.39;1910.23;646.91
5.1.2014 9:00;-612;1380.18;2753.15;2070.08;117.78
5.1.2014 10:00;-773;1453.2;2880.3;1989.51;-457.29
5.1.2014 11:00;-724;1411.8;2903.91;2288.95;94.66
5.1.2014 12:00;-722;1534.78;2994.73;2571.03;112.59
5.1.2014 13:00;-826;1572.17;3141.22;2214.25;-127.67
5.1.2014 14:00;-355;1531.98;3101.96;1525.46;-463.51
5.1.2014 15:00;-490;1269.26;2666.18;1239.52;-65.98
5.1.2014 16:00;-713;1355.45;2329.7;1688.29;-256.19
5.1.2014 17:00;-593;1617.43;2310.39;2365.98;-205.04
5.1.2014 18:00;-314;1712.6;2734.62;2596.65;7.88
5.1.2014 19:00;-199;2150.03;3209.02;2468.99;298.07
5.1.2014 20:00;72;2481.44;3426.71;2586.96;860.38
5.1.2014 21:00;432;3135.39;3722.68;2609.9;1490.51
5.1.2014 22:00;269;3133.58;3503.11;2614;1415.32
5.1.2014 23:00;-291;2668.71;2973.68;2223.85;727.27
6.1.2014 0:00;-992;1377.99;1447.21;1769.43;-491.42
6.1.2014 1:00;-1051;1051.79;1026.21;1708.57;-461.03
6.1.2014 2:00;-1180;949.21;957.85;1701.5;-217.29
6.1.2014 3:00;-1076;981.97;986.05;1682.26;-129.48
6.1.2014 4:00;-1079;1071.02;905.42;1744.74;156.06
6.1.2014 5:00;-1199;1440.5;975.72;1625.7;354.83
6.1.2014 6:00;-1451;2427.54;1130.81;2192.33;740.81
6.1.2014 7:00;-1261;3441.71;935.14;2919.77;2113.91
6.1.2014 8:00;-1656;3591.8;1381.52;3359.52;2406.13
6.1.2014 9:00;-1234;3121.13;1752.92;3357.99;1987.74
6.1.2014 10:00;-1704;2530.85;1831.19;2909.8;1716.41
6.1.2014 11:00;-1909;2235.29;2012.45;2751.75;1498.37
6.1.2014 12:00;-1825;2240.35;1961.84;3044.3;1358.05
6.1.2014 13:00;-1772;2273.81;1731.22;3094.28;1223.33
6.1.2014 14:00;-1737;2133.06;1449.89;3162.42;1382.8
6.1.2014 15:00;-1862;1557.01;1388.06;3055.52;1760.27
6.1.2014 16:00;-1973;1184.27;1535.73;2897.5;1758.63
6.1.2014 17:00;-1939;1318.44;1872.58;2757.51;1737.81
6.1.2014 18:00;-1829;1713.02;2456.05;2877.83;1760.12
6.1.2014 19:00;-1486;1850.82;2778.89;3128.98;1715.43
6.1.2014 20:00;-1200;1875.31;3043.22;2921.7;1750.79
6.1.2014 21:00;-1131;2243.99;3571.96;3131.12;1522.98
6.1.2014 22:00;-1123;2480.53;3665.38;3057.9;1236.75
6.1.2014 23:00;-1201;2094.75;2950.91;2739.09;756.8
7.1.2014 0:00;-1338;1079.51;1834.3;2348.81;-33.5
7.1.2014 1:00;-1331;773.46;1548.93;2223.51;-107.85
7.1.2014 2:00;-1178;686.63;1362.73;2077.38;-86.05
7.1.2014 3:00;-1197;581.69;1252.92;1944.19;-272.73
7.1.2014 4:00;-1335;565.25;1167.55;1761.24;-419.15
7.1.2014 5:00;-1214;653.79;1196.17;1353.87;-645.3
7.1.2014 6:00;-737;1084.55;1540.2;1382.33;-163.69
7.1.2014 7:00;531;1264.99;1797.81;1740;725.97
7.1.2014 8:00;365;1051.93;2271.07;1798.05;1650.08
7.1.2014 9:00;127;1093.48;2546.53;1890.57;1225.16
7.1.2014 10:00;-179;1097.81;2377.81;1754.16;821.63
7.1.2014 11:00;-416;995.35;2307.65;1767.65;652.13
7.1.2014 12:00;-277;1063.84;2126.98;1752.66;750.35
7.1.2014 13:00;-339;1068.34;2245.97;1878.18;969.25
7.1.2014 14:00;-408;1013.28;2209.18;1987.3;1010.25
7.1.2014 15:00;-746;731.42;2120.66;1907.19;853.5
7.1.2014 16:00;-1421;311.53;1996.08;1907.59;698.98
7.1.2014 17:00;-1623;780.95;1899.12;1801.64;547.65
7.1.2014 18:00;-1402;1103.58;2156.58;1986.25;747.55
7.1.2014 19:00;-1179;1087.8;2405.22;2288.75;1032.64
7.1.2014 20:00;-1080;810.43;2625.4;2607.27;594.46
7.1.2014 21:00;-1100;842.83;2881.58;3129.13;-195.75
7.1.2014 22:00;-1606;960.32;3415.18;3339.21;-332.13
7.1.2014 23:00;-1820;571.42;2981.48;3225.49;-307.92
8.1.2014 0:00;-1830;-203.31;1942.9;3003.73;-554.91
8.1.2014 1:00;-1796;-406.71;2022.75;2733.01;-525.76
8.1.2014 2:00;-1795;-260.42;1985.89;2709.04;-203.85
8.1.2014 3:00;-1778;-190.36;1977.48;2651.94;108.62
8.1.2014 4:00;-1723;-208.14;1730.37;2645.3;263.23
8.1.2014 5:00;-1709;-10.55;1657.85;2431.63;183.05
8.1.2014 6:00;-1911;447.79;1700.29;2522.74;437.49
8.1.2014 7:00;-1862;887.8;1701.29;2557.36;678.92
8.1.2014 8:00;-1420;1049.74;1817.12;2550.96;1095.74
8.1.2014 9:00;-1310;1014.76;1757.06;2672.33;1053.19
8.1.2014 10:00;-1524;1027.81;1713.46;2401.96;884.52
8.1.2014 11:00;-1474;1126.63;1719.96;2202.65;1153.83
8.1.2014 12:00;-999;1476.31;1907.13;2086.24;1085.59
8.1.2014 13:00;-844;1484.32;1867.46;1912.32;1256.18
8.1.2014 14:00;-776;1233.15;1792.14;1957.72;1394.88
8.1.2014 15:00;-1099;876.07;1708.82;1864.66;1349.48
8.1.2014 16:00;-1500;1011.37;2069.78;2065.77;1462.91
8.1.2014 17:00;-1460;1555.36;1919.74;2094.22;1581.93
8.1.2014 18:00;-1038;1730.95;1884.45;2298.9;1505.44
8.1.2014 19:00;-755;1887.82;1616.39;2496.85;1373.89
8.1.2014 20:00;-509;1904.71;1675.6;2776.89;1112.38
8.1.2014 21:00;-205;2120.2;2317.58;3195;466.92
8.1.2014 22:00;-263;2210.01;2810.62;3457.19;452.71
8.1.2014 23:00;-528;1760.86;2457.67;3271.05;314.82
9.1.2014 0:00;-463;122.26;2502.17;3107.62;49.26
9.1.2014 1:00;-119;-162.64;2102.38;2978.59;125.14
9.1.2014 2:00;58;-389.69;2219.92;2644.24;148.76
9.1.2014 3:00;20;-503.18;2260.97;2637.1;111.37
9.1.2014 4:00;5;-713.68;2266.22;2586.93;-51.27
9.1.2014 5:00;-148;-455.75;2625.43;2724.04;-72.5
9.1.2014 6:00;-403;358.79;2733.62;2317.69;-256.07
9.1.2014 7:00;-558;244.62;2458.85;2111.38;259.71
9.1.2014 8:00;-301;-217.99;2161.33;2167.43;511.52
9.1.2014 9:00;-440;-54.93;2109.9;1917.73;490.39
9.1.2014 10:00;-747;-124.78;1675.45;1243.91;404.16
9.1.2014 11:00;-849;-120.3;1607.17;1122.75;651.53
9.1.2014 12:00;-901;-74.6;1753.89;658;758.13
9.1.2014 13:00;-783;108.77;2152.51;367.36;730.68
9.1.2014 14:00;-846;-89.43;1971.15;377.07;691.08
9.1.2014 15:00;-923;-449.9;1748.44;638.76;534.62
9.1.2014 16:00;-1143;-958.4;1763.42;1156.23;342.83
9.1.2014 17:00;-1195;-1190.31;1746.69;1178.78;524.59
9.1.2014 18:00;-1234;-736.87;1911.85;1378.96;685.7
9.1.2014 19:00;-1204;-395.29;1960.86;1466.74;381.21
9.1.2014 20:00;-995;-234.14;2320.74;1628.7;-175.15
9.1.2014 21:00;-457;-189.78;2923.21;2176.85;-185.95
9.1.2014 22:00;-217;145.76;3395.3;2405.24;-373.41
9.1.2014 23:00;9;137.74;2936.69;2593.97;-560.41
10.1.2014 0:00;321;178.89;2345.4;2871.76;-1447.16
10.1.2014 1:00;795;253.72;2103.99;3032.17;-1549.45
10.1.2014 2:00;963;148.59;1944.58;2856.02;-1269.46
10.1.2014 3:00;927;-300.17;2000.88;2916.4;-1411.25
10.1.2014 4:00;901;-210.56;2064;2982.53;-1482.89
10.1.2014 5:00;918;282.95;2300.68;2805.89;-1262.09
10.1.2014 6:00;442;-11.35;2224.56;2511.46;-1188.21
10.1.2014 7:00;-290;-279.78;1946.01;2099.14;-919.45
10.1.2014 8:00;-283;-402.28;1969.85;2078.11;-663.41
10.1.2014 9:00;-318;-338.88;2074.56;1713.39;-256.17
10.1.2014 10:00;-437;-363.15;2015.2;1205.17;28.41
10.1.2014 11:00;-523;-3.02;2117.46;990.54;514.61
10.1.2014 12:00;-434;276.89;2307.94;829.71;500.14
10.1.2014 13:00;-291;150.97;2487.29;769.26;585.59
10.1.2014 14:00;-214;168.9;2305.23;862.59;766.25
10.1.2014 15:00;-607;-107.01;1989.91;753.39;769.41
10.1.2014 16:00;-920;244.75;2106.46;873.96;787.97
10.1.2014 17:00;-873;485.13;1893.34;1301.7;1073.62
10.1.2014 18:00;-742;915.04;1986.65;1261.84;1362.5
10.1.2014 19:00;-601;1089.94;2138.3;1663.91;1468.69
10.1.2014 20:00;-516;1204.32;2642.67;1966.73;1079.74
10.1.2014 21:00;-141;1421;2992.01;2169.32;1069.29
10.1.2014 22:00;37;1958.85;3444.95;2404.9;969.89
10.1.2014 23:00;380;2250.2;2908.54;2419.27;1069.94
11.1.2014 0:00;350;1878.62;2259.64;2475.82;992.31
11.1.2014 1:00;118;1561.57;1933.84;2517.4;566.95
11.1.2014 2:00;148;1524.9;1835.46;2603.11;536.73
11.1.2014 3:00;109;1602.6;2062.39;2531.6;536.89
11.1.2014 4:00;76;1602.91;2192.03;2569.8;512.85
11.1.2014 5:00;-17;1378.46;2507.64;2582.21;519.16
11.1.2014 6:00;-125;758.64;2929.63;2641.48;424.54
11.1.2014 7:00;-266;550.4;2566.93;2967.67;283.14
11.1.2014 8:00;-518;659.2;2178.34;2963.71;265.96
11.1.2014 9:00;-427;780.65;2168.23;2733.32;-152.37
11.1.2014 10:00;-482;624.26;2048.74;2459.9;-340.29
11.1.2014 11:00;-491;732.52;1906.73;2412.11;-278.77
11.1.2014 12:00;-287;846.73;1943.11;2505.18;55.29
11.1.2014 13:00;-215;873.54;2167.89;2486.92;151.2
11.1.2014 14:00;-290;879.92;2413.42;2124.15;192.66
11.1.2014 15:00;-779;921.21;2416.91;1607.25;74.77
11.1.2014 16:00;-1108;1118.32;2200.54;1138.79;16.19
11.1.2014 17:00;-1237;1179.39;2201.05;1343.73;480.6
11.1.2014 18:00;-1179;1193;2565.17;1583.85;725.81
11.1.2014 19:00;-854;1014.46;2836.62;1618.32;774.24
11.1.2014 20:00;-632;956.86;3189.79;1680.76;904.78
11.1.2014 21:00;-594;909.19;3763.3;1845.01;895.17
