;;;;;;Min;;;;;;;
2011;2012;2013;2014;2015;;2011;2012;2013;2014;2015;;;
5 415;7599,45;5386,84;5700,26;4053,75;;2 546;3301,49;1 791;1682,61;2 069;;;
6 123;6461,57;4772,8;5245,09;3631,9;;;;;;;;;
6 717;6001,55;4473,75;4752,34;3354,61;;Summa;;;;;;;
6 746;5706,51;4363,25;4464,24;3286,68;;2011;2012;2013;2014;2015;;;Medel
6 714;5589,43;4437,48;4418,48;3364,86;;67 249 684;79524935,02;61684151,08;64819734,09;75197991,12;;;7951,727257
6 974;5640,75;4683,6;4514,43;3385,85;;;;;;;;;
7 729;6016,13;5104,63;4792,88;3361,16;;;;;;;;;
8 321;6612,25;5742,24;5211,68;3907,59;;;;;;;;;
8 503;7444,81;6063,61;5414,72;3975,87;;;;;;;;;0,211603083
8 600;7572,04;6465,81;5833,13;4203,87;;;;;;;;;
8 509;7920,94;7090,7;6525,58;4862,56;;;;;;;;;
8 136;8322,01;7524,78;7031,55;5522,82;;;;;;;;;
7 787;8551,37;7835,72;7532,39;5796,87;;;;;;;;;
6 764;8726,27;8138,82;7898,87;5984,21;;;;;;;;;
5 512;9078,58;8483,83;8317,28;6489,41;;;;;;;;;
4 553;9325,66;8970,4;8890,38;6700,07;;;;;;;;;
4 380;9917,07;9597,37;8750,67;6729,43;;;;;;;;;
4 290;10425,24;10418,45;9461,55;6724,87;;;;;;;;;
4 354;10805,49;10453,8;8781,3;6705,96;;;;;;;;;
4 653;10584,47;10303,42;8241,26;6301,67;;;;;;;;;
5 457;9880,96;9884,83;8071,87;5682,14;;;;;;;;;
7 045;9580,12;8765,28;7779,56;5358,99;;;;;;;;;
9 028;9081,58;8044,31;7064,56;4445,35;;;;;;;;;
9 823;8189,96;7023,87;6021,5;3832,53;;;;;;;;;
9 893;6394,81;6058,09;5194,08;3113,46;;;;;;;;;
9 973;5713,69;5714,1;4868,89;2927,25;;;;;;;;;
10 021;5663,95;5511,72;4826,51;2771,01;;;;;;;;;
9 960;5709,71;5561,43;4659,83;2711,29;;;;;;;;;
9 799;6039,73;5794,4;4764,02;2995,51;;;;;;;;;
9 845;6973,18;6415,82;5234,72;3440,26;;;;;;;;;
10 105;8544,43;8032,23;6050,03;3970,59;;;;;;;;;
10 523;9950,01;9838,63;7357,3;4548,16;;;;;;;;;
10 648;10915,81;10534,78;8333,57;5557,33;;;;;;;;;
10 500;11263,8;10960,02;8547,49;6022,9;;;;;;;;;
10 173;11423,24;10965,6;9286,58;6589,96;;;;;;;;;
9 625;11335,89;10996,14;9800,68;6691,34;;;;;;;;;
8 576;11520,07;10943,73;10301,64;6764,88;;;;;;;;;
