Tid;Total_foorbrukning;Vindkraft;Vattenkraft;Nuclear;Gasturbin/diesel;ChP;Ospec. prod.;Solkraft;Total_produktion;Import
01.01.2014 00:00;-14320.83;1196;5700.26;8278.34;0.98;1089.41;0.49;0.01;16265.49;-1947.16
01.01.2014 01:00;-14051.57;1221.65;5245.09;8276.6;1;1082.1;0.48;0.01;15826.93;-1777.75
01.01.2014 02:00;-13719.27;1316.43;4752.34;8276.84;0.91;1083.74;0.47;0.01;15430.74;-1713.65
01.01.2014 03:00;-13523.38;1298.22;4464.24;8276.18;0.93;1095.68;0.45;0.01;15135.72;-1614.63
01.01.2014 04:00;-13447.1;1250.22;4418.48;8277.06;0.9;1111.65;0.45;0.01;15058.77;-1614.48
01.01.2014 05:00;-13654.33;1266.06;4514.43;8277.55;0.82;1124.84;0.45;0.01;15184.15;-1532.49
01.01.2014 06:00;-14017.28;1292.19;4792.88;8277.55;0.76;1132.32;0.47;0.01;15496.18;-1482.08
01.01.2014 07:00;-14407.12;1251.78;5211.68;8277.39;0.78;1124.57;0.47;0.01;15866.71;-1463.35
01.01.2014 08:00;-14634.96;1251.25;5414.72;8278.15;1;1128.64;0.5;0.01;16074.26;-1442.74
01.01.2014 09:00;-14810.67;1231.99;5833.13;8278.43;1.07;1122.58;0.91;0.03;16468.15;-1660.83
01.01.2014 10:00;-15262.73;1187.52;6525.58;8279.15;1.06;1123.18;0.54;0.08;17117.09;-1857.29
01.01.2014 11:00;-15696.49;1109.92;7031.55;8277.54;1.12;1112.58;0.55;0.11;17533.39;-1840.05
01.01.2014 12:00;-15934.71;1058.14;7532.39;8272.79;1.1;1122.71;0.56;0.08;17987.76;-2056.88
01.01.2014 13:00;-16115.2;989.76;7898.87;8271.47;1.09;1122.64;0.56;0.05;18284.43;-2172.66
01.01.2014 14:00;-16454.7;920.4;8317.28;8273.55;1.1;1108.8;0.54;0.02;18621.71;-2169.02
01.01.2014 15:00;-17107.96;897.51;8890.38;8272.7;1.05;1104.92;0.55;0.01;19167.12;-2061.97
01.01.2014 16:00;-17636.1;871.94;8750.67;8274.96;1;1078.33;0.55;0.01;18977.46;-1343.22
01.01.2014 17:00;-17785.26;831.52;9461.55;8276.19;1.03;1074.35;0.54;0.01;19645.18;-1861.61
01.01.2014 18:00;-17376.11;852.82;8781.3;8277.06;1.02;1086.62;0.54;0.01;18999.37;-1625.51
01.01.2014 19:00;-16951.02;844.05;8241.26;8277.8;1.06;1085.95;0.51;0.01;18450.64;-1501.44
01.01.2014 20:00;-16343.81;786.63;8071.87;8279.24;1.09;1081.01;0.52;0.01;18220.36;-1877.72
01.01.2014 21:00;-15730.33;699.5;7779.56;8279.8;0.93;1074.46;0.5;0.01;17834.76;-2105.49
01.01.2014 22:00;-15068.73;658.11;7064.56;8279.13;0.83;1081.54;0.48;0.01;17084.66;-2017.52
01.01.2014 23:00;-14376.38;628.98;6021.5;8277.51;0.85;1105.51;0.46;0;16034.81;-1659.57
02.01.2014 00:00;-13796.23;689.81;5194.08;8279.15;0.85;1116.83;0.43;0.01;15281.16;-1485.84
02.01.2014 01:00;-13533.17;793.26;4868.89;8278.72;0.88;1121.16;0.44;0.01;15063.36;-1530.67
02.01.2014 02:00;-13457.8;917.78;4826.51;8278.25;0.85;1132.41;0.43;0.01;15156.24;-1698.83
02.01.2014 03:00;-13425.37;1064.97;4659.83;8279.35;0.85;1164.7;0.43;0.01;15170.14;-1745.54
02.01.2014 04:00;-13568.54;1210.25;4764.02;8279.02;0.84;1177.84;0.44;0;15432.42;-1865.05
02.01.2014 05:00;-14178.64;1318.23;5234.72;8278.71;0.77;1171.07;0.44;0.01;16003.95;-1827.33
02.01.2014 06:00;-15325.91;1490.97;6050.03;8278.69;0.69;1187.04;0.45;0.01;17007.87;-1684.84
02.01.2014 07:00;-16568.14;1655.67;7357.3;8279.52;0.85;1211.38;0.47;0.01;18505.22;-1940.1
02.01.2014 08:00;-17263.41;1756.09;8333.57;8278.54;0.93;1221.17;0.49;0.01;19590.8;-2330.41
